Date,XU100,THYAO,PGSUS,AKBNK,GARAN,EREGL,KRDMD,ASELS,OTKAR,BIMAS,MGROS,TUPRS,ENJSA
2021-08-24,1664033700.0,115259132.0,11779173.0,67062287.0,125553324.0,59758516.0,92984580.0,26039080.0,1066190.0,6353230.0,1354250.0,22595692.0,3620647.0
2021-08-25,1863153600.0,133481635.0,16213633.0,51009115.0,170572362.0,52746110.0,86166697.0,52087282.0,1391570.0,17185860.0,1861403.0,30064132.0,3090307.0
2021-08-26,1705162400.0,130016212.0,10891912.0,54176746.0,126848935.0,38861354.0,58419457.0,48430940.0,836305.0,7007240.0,1669346.0,25020226.0,1928262.0
2021-08-27,1591599600.0,64421920.0,9821846.0,59034380.0,112793560.0,48997318.0,86912940.0,40053974.0,1893610.0,6130876.0,1182166.0,21606235.0,4895425.0
2021-08-31,1885265000.0,53636208.0,5825407.0,98583074.0,196195556.0,48169308.0,69949277.0,31985796.0,1784205.0,7338194.0,1237784.0,50631518.0,3458720.0
2021-09-01,1658639400.0,89007860.0,10454506.0,56904589.0,132109808.0,34712370.0,47940350.0,33646000.0,860890.0,6097406.0,1403814.0,40444824.0,4678658.0
2021-09-02,1526001500.0,54512227.0,5080933.0,52563023.0,99152733.0,37428558.0,32229286.0,20682360.0,691795.0,3822892.0,846726.0,35945959.0,1896493.0
2021-09-03,1772196800.0,92161781.0,9445129.0,47164414.0,108906612.0,61422236.0,69656475.0,24012438.0,849155.0,4596180.0,1154174.0,31929205.0,1998224.0
2021-09-06,1697623600.0,53633696.0,5340504.0,50948480.0,114196979.0,26238874.0,38792576.0,15571338.0,972260.0,2031294.0,650149.0,20030353.0,1374954.0
2021-09-07,1847168900.0,103219177.0,7377147.0,47545635.0,110634071.0,45079846.0,67268168.0,20692442.0,1913910.0,2751624.0,967537.0,28330113.0,1593545.0
2021-09-08,1951801300.0,69203476.0,5715910.0,81602319.0,219483007.0,36262722.0,62914730.0,21770442.0,1614845.0,3629048.0,1091297.0,30644656.0,2343511.0
2021-09-09,1692677500.0,63636589.0,7928805.0,57532789.0,196660038.0,43831962.0,79031466.0,24304588.0,1650950.0,5109250.0,1412185.0,30284247.0,1651441.0
2021-09-10,1509835900.0,49311149.0,10109457.0,57082067.0,177312451.0,53500640.0,71582263.0,19767602.0,1984880.0,3729508.0,931012.0,19528026.0,1698478.0
2021-09-13,1604110300.0,38881204.0,11779671.0,69425166.0,158562007.0,40270188.0,51647895.0,16365292.0,1944165.0,3062608.0,1038128.0,24723174.0,936262.0
2021-09-14,1744666800.0,65375501.0,8122315.0,88208624.0,223700479.0,40357974.0,51833267.0,25945932.0,995690.0,4050592.0,1608246.0,66299023.0,1302390.0
2021-09-15,1605647800.0,50022705.0,8676842.0,48409572.0,145167979.0,66236922.0,103098398.0,34834574.0,1041930.0,5755172.0,1035044.0,74855396.0,1256621.0
2021-09-16,1537059300.0,71541980.0,9343843.0,52561040.0,176800041.0,56727900.0,72693014.0,20817088.0,1196950.0,3674546.0,1701174.0,33174540.0,1641354.0
2021-09-17,1543991500.0,126749273.0,23514422.0,44558226.0,152127066.0,71315908.0,72000006.0,22902270.0,754470.0,6035584.0,1178250.0,33155689.0,2192682.0
2021-09-20,1741753000.0,118328969.0,21318570.0,55313553.0,139936918.0,62842314.0,66061130.0,23315236.0,684915.0,2872836.0,1162017.0,31461997.0,1863458.0
2021-09-21,1699234300.0,134319994.0,15221280.0,53444737.0,149526413.0,76995536.0,90678908.0,33293302.0,662250.0,4204520.0,862233.0,51988797.0,1375453.0
2021-09-22,1500384700.0,93716506.0,18687179.0,51763888.0,139181718.0,104563662.0,119426963.0,19372210.0,756815.0,2213666.0,1425709.0,35933737.0,1624899.0
2021-09-23,2679240200.0,92839027.0,16680213.0,144838058.0,354905496.0,128127004.0,104284552.0,29414166.0,1070875.0,6768964.0,1726844.0,42483973.0,2046310.0
2021-09-24,2025778000.0,71721378.0,18831407.0,110507439.0,239336274.0,51344150.0,59263678.0,19636256.0,656980.0,7581160.0,3114772.0,37084075.0,2372249.0
2021-09-27,1675935800.0,89362029.0,26933332.0,57426382.0,166162952.0,54391212.0,77036880.0,19977292.0,614790.0,7068558.0,1430523.0,35753340.0,1886114.0
2021-09-28,1866974900.0,109992789.0,20255703.0,65235176.0,159299932.0,45515556.0,67995143.0,18301696.0,609080.0,5184624.0,1238316.0,57412418.0,2399557.0
2021-09-29,1717260700.0,86075020.0,9758742.0,96418601.0,187861646.0,44777734.0,42576389.0,21894576.0,970475.0,4144504.0,1079532.0,35160398.0,3283327.0
2021-09-30,2070925300.0,76409871.0,12298133.0,142817527.0,249317224.0,67902912.0,107127267.0,53277822.0,2813330.0,8978858.0,2037191.0,55524329.0,4845921.0
2021-10-01,1530063400.0,97542462.0,8451099.0,57970442.0,164277487.0,52830238.0,68267303.0,40343858.0,1950820.0,4650756.0,894178.0,29073359.0,3673710.0
2021-10-04,1584796400.0,74809181.0,11710287.0,75918221.0,164612907.0,51148108.0,49209914.0,51025642.0,798450.0,4228250.0,1406261.0,44470720.0,3666628.0
2021-10-05,1666252300.0,84235163.0,7659547.0,38405564.0,162815555.0,56961688.0,51976426.0,35779774.0,1497185.0,3884314.0,1045176.0,74224948.0,2538413.0
2021-10-06,2269729400.0,67415705.0,9050934.0,60571243.0,154556172.0,170405424.0,127154535.0,43895008.0,1080540.0,7181808.0,1604902.0,59807755.0,2118410.0
2021-10-07,2045920900.0,67668536.0,8056635.0,82618566.0,177561053.0,101496004.0,90360403.0,99431242.0,596985.0,4572626.0,762493.0,49909524.0,2682165.0
2021-10-08,1927529700.0,64985391.0,8614198.0,82177027.0,161841619.0,92849262.0,77309057.0,143678606.0,3536520.0,10741030.0,1042934.0,32631053.0,8377272.0
2021-10-11,1704525000.0,37854961.0,8015800.0,65426338.0,144311226.0,99733272.0,141932030.0,65939350.0,2269345.0,5918142.0,1167058.0,38724784.0,3563701.0
