,Hacim-Mutlak Getiri Korelasyonu
BIMAS,0.4165225781831878
TUPRS,0.3825533169423938
MGROS,0.3608846178598191
AKBNK,0.33520793213773453
KRDMD,0.32877809746835085
ASELS,0.3182317241577566
ENJSA,0.3097261085109786
THYAO,0.30122926123139016
OTKAR,0.29404353905630165
PGSUS,0.28786842668980517
EREGL,0.2748257761318512
GARAN,0.08066687100112602
XU100,0.0723541491756922
