,Ortalama Volatilite (%),Volatilite Oynaklığı (std) (%),En Düşük Volatilite (%),Medyan Volatilite (%),En Yüksek Volatilite (%)
Bankacılık,44.19990730030744,14.20903338549974,20.13243925454175,42.76257689886462,99.943137951105
Savunma,42.755341357541745,11.874521969326157,17.924854751021453,41.11402016867949,91.52492261648128
Sanayi,42.695331475532214,13.599578596457965,18.94843401984656,40.05609143852631,97.15167186773269
Ulaştırma,40.31543830153335,13.536670959877737,18.527481854014148,37.267862365105245,90.80864720677255
Enerji,38.58253583112964,13.257411296408879,18.915485990564,35.837475131001014,94.54381505569678
Perakende,37.37980226991482,9.964987081731405,20.223956654129644,35.232836152154654,64.4480768306262
BIST 100,26.785925190334158,9.573883002022557,12.090970062015707,25.184457676699097,61.36356845486247
