Date,XU100,THYAO,PGSUS,AKBNK,GARAN,EREGL,KRDMD,ASELS,OTKAR,BIMAS,MGROS,TUPRS,ENJSA
2021-07-05,1392.592529296875,13.793604850769045,15.95875358581543,4.340465068817139,6.969223499298096,7.717017650604248,6.412302970886231,7.372310161590576,53.42211151123047,27.44996452331543,30.71906852722168,8.986117362976074,8.00289249420166
2021-07-06,1382.5926513671875,13.559152603149414,15.692774772644045,4.284613609313965,6.945024967193604,7.6323089599609375,6.412302970886231,7.269303798675537,52.932861328125,27.31841468811035,31.35670661926269,8.852614402770996,7.98776388168335
2021-07-07,1390.5926513671875,13.52984619140625,15.477945327758787,4.292592525482178,7.041818141937256,7.636544704437256,6.625428676605225,7.293829441070557,52.68824005126953,27.44996452331543,32.2381477355957,8.871027946472168,7.980199337005615
2021-07-08,1372.99267578125,13.34423828125,15.007367134094238,4.244719505310059,6.904693603515625,7.437476634979248,6.560564041137695,7.234968662261963,52.180171966552734,27.340341567993164,31.375459671020508,8.769749641418457,7.836480140686035
2021-07-09,1378.292724609375,13.256318092346191,15.007367134094238,4.244719505310059,6.880494594573975,7.64501428604126,6.690292835235596,7.259494304656982,52.142539978027344,27.73498916625977,31.713035583496094,8.89404582977295,7.821352005004883
2021-07-12,1356.9927978515625,12.933945655822754,14.659547805786133,4.22078275680542,6.969223499298096,7.704311847686768,6.653226852416992,7.07310152053833,50.411354064941406,26.87991523742676,30.79408836364746,8.70069694519043,7.632246971130371
2021-07-13,1346.7928466796875,12.797183990478516,14.700467109680176,4.180889129638672,6.815964698791504,7.589954376220703,6.569830894470215,6.975000381469727,49.58339691162109,26.83606719970703,31.187923431396484,8.654661178588867,7.488527774810791
2021-07-14,1367.2928466796875,12.777644157409668,14.812996864318848,4.22078275680542,6.799832344055176,7.704311847686768,6.736624240875244,7.102531433105469,51.37103271484375,27.055316925048828,31.20667839050293,8.746731758117676,7.518784999847412
2021-07-16,1363.2928466796875,12.777644157409668,14.649317741394045,4.180889129638672,6.735302448272705,7.666192054748535,6.838554382324219,7.092721462249756,50.63716125488281,27.077241897583008,31.881820678710938,8.723714828491211,7.549040794372559
2021-07-19,1351.5927734375,12.435734748840332,14.434488296508787,4.117059230804443,6.670773506164551,7.589954376220703,6.727358818054199,7.092721462249756,50.84415435791016,26.792217254638672,31.6192626953125,8.636247634887695,7.496092319488525
2021-07-26,1349.0927734375,12.025444984436035,13.912759780883787,4.093122482299805,6.573977947235107,7.640779972076416,6.8663530349731445,7.146677494049072,52.311893463134766,26.967618942260746,31.506738662719727,8.475123405456543,7.511220455169678
