,Al-Tut Kümülatif Getiri (%),SMA Stratejisi Kümülatif Getiri (%),Fark (Strateji - Al-Tut) (%),Strateji Başarılı mı?
THYAO,2432.36,355.99,-2076.37,Hayır
PGSUS,1121.73,686.65,-435.08,Hayır
